,word,PosScore,NegScore
190,dead-end,0.125,0.125
191,flat,0.0,0.0
192,indolent,0.0,0.0
193,latent,0.125,0.25
194,quiescent,0.0,0.625
195,active,0.125,0.0
196,activistic,0.0,0.0
197,hands-on,0.0,0.0
198,proactive,0.0,0.0
199,passive,0.375,0.25
200,hands-off,0.0,0.625
201,unresisting,0.0,0.75
202,active,0.0,0.5
203,eruptive,0.125,0.5
204,inactive,0.0,0.0
205,quiescent,0.0,0.25
206,extinct,0.0,0.0
207,dead,0.25,0.625
208,active,0.0,0.5
209,live,0.5,0.0
210,dynamic,0.0,0.0
211,stative,0.0,0.0
212,active,0.0,0.0
213,passive,0.0,0.0
214,active,0.25,0.0
215,activated,0.125,0.0
216,counteractive,0.0,0.5
217,surface-active,0.0,0.0
218,inactive,0.0,0.625
219,quiescent,0.125,0.625
220,active,0.375,0.0
221,quiet,0.0,0.5
222,existent,0.125,0.5
223,effective,0.5,0.0
224,potential,0.0,0.25
225,latent,0.0,0.625
226,acute,0.0,0.5
227,subacute,0.0,0.0
228,chronic,0.0,0.375
229,degenerative,0.0,0.375
230,virulent,0.5,0.0
231,highly_infective,0.125,0.375
232,deadly,0.125,0.25
233,avirulent,0.0,0.875
234,adaptive,0.25,0.0
235,reconciling,0.625,0.125
236,adaptational,0.0,0.0
237,adjustive,0.625,0.125
238,maladaptive,0.5,0.375
239,nonadaptive,0.0,0.0
240,maladjustive,0.375,0.25
241,addicted,0.0,0.0
242,alcoholic,0.0,0.0
243,strung-out,0.0,0.0
244,unaddicted,0.0,0.125
245,clean,0.5,0.0
246,habit-forming,0.0,0.625
247,nonaddictive,0.25,0.5
248,additive,0.0,0.375
249,cumulative,0.0,0.0
250,addible,0.5,0.0
251,extra,0.0,0.0
252,completing,0.125,0.125
253,incremental,0.0,0.0
254,intercalary,0.0,0.0
255,summative,0.0,0.0
256,supplementary,0.0,0.0
257,subtractive,0.25,0.0
258,ablative,0.625,0.0
259,reductive,0.0,0.625
260,addressed,0.125,0.0
261,self-addressed,0.0,0.0
262,unaddressed,0.0,0.125
263,equal,0.0,0.0
264,up_to,0.375,0.25
265,competent,0.25,0.0
266,unequal,0.0,0.5
267,wanting,0.0,0.625
268,unequal_to,0.0,0.25
269,understaffed,0.0,0.75
270,adhesive,0.25,0.5
271,adherent,0.0,0.0
272,agglutinative,0.0,0.0
273,bondable,0.25,0.0
274,tenacious,0.0,0.0
275,cohesive,0.0,0.5
276,viscous,0.0,0.0
277,icky,0.0,0.0
278,gum-like,0.0,0.0
279,gummy,0.0,0.25
280,tarry,0.0,0.0
281,self-sealing,0.0,0.5
282,stick-on,0.0,0.5
283,sticky,0.0,0.0
284,nonadhesive,0.0,0.75
285,nonviscid,0.0,0.625
286,nonresiny,0.0,0.5
287,ungummed,0.0,0.75
288,procedural,0.0,0.0
289,substantive,0.125,0.0
290,adoptable,0.75,0.0
291,unadoptable,0.0,0.0
292,decorated,0.375,0.0
293,spangly,0.0,0.375
294,bedaubed,0.0,0.5
295,spectacled,0.0,0.25
296,raised,0.0,0.0
297,buttony,0.0,0.125
298,carbuncled,0.0,0.0
299,cloisonne,0.0,0.0
300,tinselly,0.0,0.0
301,plumed,0.0,0.25
302,tufted,0.0,0.0
303,crested,0.0,0.0
304,crocketed,0.0,0.0
305,plumy,0.0,0.125
306,ruffled,0.0,0.125
307,fringed,0.0,0.125
308,gilt-edged,0.125,0.0
309,inflamed,0.0,0.125
310,inlaid,0.0,0.125
311,inwrought,0.0,0.0
312,tessellated,0.0,0.0
313,mounted,0.0,0.25
314,wainscoted,0.0,0.125
315,studded,0.0,0.375
316,tapestried,0.0,0.125
317,tasselled,0.0,0.125
318,tricked-out,0.0,0.125
319,tufted,0.0,0.125
320,undecorated,0.25,0.625
321,unornamented,0.125,0.25
322,untufted,0.375,0.375
323,cholinergic,0.0,0.0
324,anticholinergic,0.0,0.0
325,adroit,0.25,0.0
326,neat,0.625,0.0
327,ingenious,0.625,0.0
328,coordinated,0.0,0.0
329,dextrous,0.25,0.25
330,handy,0.25,0.0
331,nimble-fingered,0.0,0.0
332,quick-witted,0.5,0.0
333,maladroit,0.25,0.375
334,left-handed,0.125,0.75
335,tactless,0.5,0.125
336,uncoordinated,0.125,0.375
337,unmechanical,0.0,0.25
338,advantageous,0.625,0.0
339,good,0.625,0.0
340,positive,0.75,0.0
341,preferential,0.125,0.25
342,disadvantageous,0.75,0.25
343,negative,0.0,0.875
344,adventurous,0.625,0.25
345,venturous,0.375,0.125
346,sporting,0.25,0.25
347,swashbuckling,0.375,0.25
348,unadventurous,0.25,0.375
349,safe,0.0,0.0
350,advisable,0.625,0.0
351,better,0.75,0.0
352,well,0.625,0.0
353,unadvisable,0.125,0.625
354,well-advised,0.5,0.0
355,considered,0.0,0.0
356,unadvised,0.0,0.125
357,aerophilous,0.0,0.0
358,aerobiotic,0.0,0.0
359,oxidative,0.0,0.0
360,anaerobiotic,0.0,0.375
361,aerobic,0.5,0.0
362,anaerobic,0.0,0.25
363,esthetical,0.625,0.0
364,artistic,0.625,0.0
365,enhancive,0.0,0.0
366,painterly,0.25,0.0
367,sensuous,0.375,0.125
368,unaesthetic,0.5,0.5
369,unartistic,0.125,0.5
370,affected,0.375,0.0
371,impressed,0.5,0.5
372,struck,0.0,0.375
373,stage-struck,0.125,0.0
374,subject,0.0,0.625
375,taken,0.125,0.5
376,wonder-struck,0.0,0.5
377,unaffected,0.125,0.125
378,immune,0.0,0.625
379,superior,0.125,0.0
380,unimpressed,0.0,0.625
381,untouched,0.25,0.625
382,unnatural,0.0,0.0
383,strained,0.0,0.0
384,stilted,0.0,0.25
385,strained,0.125,0.625
386,elocutionary,0.0,0.25
387,mannered,0.0,0.375
388,plummy,0.25,0.125
389,unaffected,0.75,0.125
390,natural,0.25,0.0
391,unmannered,0.0,0.375
392,unselfconscious,0.125,0.125
393,unstilted,0.0,0.0
394,affirmatory,0.5,0.0
395,assentient,0.25,0.0
396,negative,0.0,0.75
397,dissident,0.0,0.625
398,acceptive,0.375,0.25
399,accepting,0.375,0.125
400,rejective,0.125,0.5
401,dismissive,0.125,0.875
402,repudiative,0.0,0.0
403,afloat,0.0,0.0
404,adrift,0.0,0.0
405,floating,0.0,0.0
406,waterborne,0.0,0.0
407,aground,0.0,0.0
408,afraid,0.0,0.5
409,acrophobic,0.0,0.75
410,afeared,0.0,0.125
411,shocked,0.25,0.0
412,agoraphobic,0.0,0.75
413,alarmed,0.0,0.625
414,algophobic,0.0,0.875
415,apprehensive,0.125,0.625
416,hangdog,0.125,0.25
417,claustrophobic,0.0,0.75
418,fearful,0.125,0.375
419,scared,0.0,0.125
420,horror-struck,0.0,0.25
421,hunted,0.625,0.125
422,hydrophobic,0.0,0.75
423,mysophobic,0.0,0.75
424,terrified,0.0,0.0
425,numb,0.0,0.75
426,shitless,0.0,0.375
427,terror-struck,0.0,0.5
428,triskaidekaphobic,0.0,0.625
429,unnerved,0.0,0.625
430,white-lipped,0.125,0.0
431,xenophobic,0.0,0.75
432,unafraid,0.25,0.125
433,unapprehensive,0.0,0.625
434,unshrinking,0.25,0.375
435,unfrightened,0.625,0.25
436,aggressive,0.5,0.0
437,combative,0.5,0.0
438,militant,0.5,0.125
439,high-pressure,0.125,0.125
440,hostile,0.0,0.0
441,in-your-face,0.25,0.0
442,obstreperous,0.125,0.25
443,vulturous,0.0,0.0
444,rough,0.25,0.0
445,scrappy,0.375,0.125
446,truculent,0.25,0.5
447,unaggressive,0.0,0.625
448,low-pressure,0.125,0.375
449,agitated,0.0,0.5
450,worked_up,0.25,0.5
451,overwrought,0.0,0.125
452,shaken,0.0,0.5
453,hectic,0.375,0.375
454,phrenetic,0.25,0.5
455,hysterical,0.125,0.625
456,psychedelic,0.0,0.5
457,wild-eyed,0.0,0.0
458,unagitated,0.125,0.625
459,agitated,0.0,0.125
460,turbulent,0.0,0.0
461,churning,0.25,0.0
462,jolted,0.0,0.0
463,ruffled,0.0,0.0
464,seething,0.25,0.25
465,stirred,0.0,0.0
466,unagitated,0.0,0.75
467,nonturbulent,0.0,0.25
468,unstirred,0.5,0.25
469,agreeable,0.5,0.0
470,disagreeable,0.125,0.875
471,vexing,0.0,0.5
472,harsh,0.33299999999999996,0.667
473,trying,0.0,0.625
474,unsweet,0.0,0.625
475,air-to-surface,0.0,0.0
476,air-to-air,0.0,0.0
477,surface-to-air,0.0,0.0
478,watchful,0.5,0.0
479,wakeful,0.375,0.0
480,fly,0.125,0.625
481,wide-awake,0.5,0.0
482,sleepless,0.125,0.375
483,unwatchful,0.25,0.5
484,algorithmic,0.0,0.0
485,recursive,0.0,0.0
486,heuristic,0.0,0.0
487,trial-and-error,0.0,0.0
488,alienable,0.0,0.0
489,appropriable,0.0,0.0
490,transferrable,0.125,0.0
491,unalienable,0.125,0.375
492,inviolable,0.125,0.625
493,non-negotiable,0.5,0.0
494,untransferable,0.125,0.5
495,live,0.125,0.0
496,liveborn,0.375,0.125
497,viable,0.5,0.0
498,vital,0.0,0.0
499,dead,0.0,0.75
500,gone,0.0,0.5
501,assassinated,0.0,0.0
502,exsanguinous,0.0,0.5
503,brain_dead,0.0,0.0
504,pulseless,0.0,0.75
505,cold,0.0,0.375
506,d.o.a.,0.0,0.0
507,deathly,0.0,0.375
508,defunct,0.0,0.0
509,doomed,0.0,0.375
510,executed,0.0,0.0
511,fallen,0.0,0.25
512,late,0.125,0.0
513,lifeless,0.0,0.5
514,murdered,0.0,0.0
515,nonviable,0.0,0.625
516,slain,0.0,0.0
517,stillborn,0.25,0.5
518,stone-dead,0.0,0.375
519,apocrine,0.0,0.0
520,eccrine,0.25,0.0
521,artesian,0.0,0.0
522,subartesian,0.0,0.125
523,live,0.5,0.0
524,in_play,0.0,0.0
525,living,0.0,0.125
526,dead,0.0,0.625
527,out,0.0,0.125
528,lifeless,0.0,0.75
529,out_of_play,0.0,0.0
530,alphabetical,0.0,0.0
531,abecedarian,0.0,0.0
532,alphabetized,0.0,0.0
533,analphabetic,0.0,0.125
534,altricial,0.0,0.0
535,precocial,0.25,0.0
536,selfless,0.875,0.0
537,self-centred,0.375,0.0
538,self-involved,0.5,0.0
539,ambiguous,0.125,0.0
540,double-barrelled,0.5,0.0
541,double-edged,0.0,0.0
542,oracular,0.25,0.125
543,left-handed,0.375,0.375
544,multivalent,0.375,0.0
545,polysemous,0.0,0.0
546,uncertain,0.375,0.375
547,unambiguous,0.375,0.0
548,monosemous,0.125,0.0
549,ambitious,0.5,0.125
550,pushy,0.625,0.0
551,wishful,0.5,0.0
552,driven,0.375,0.0
553,would-be,0.25,0.0
554,overambitious,0.375,0.25
555,unambitious,0.5,0.0
556,shiftless,0.25,0.5
557,ametropic,0.0,0.25
558,emmetropic,0.0,0.0
559,ample,0.0,0.0
560,good,0.0,0.0
561,generous,0.25,0.0
562,wide-cut,0.0,0.0
563,stingy,0.0,0.625
564,spare,0.0,0.5
565,exiguous,0.125,0.625
566,hand-to-mouth,0.0,0.5
567,hardscrabble,0.0,0.375
568,paltry,0.0,0.0
569,anabolic,0.5,0.0
570,energy-storing,0.0,0.0
571,katabolic,0.0,0.75
572,energy-releasing,0.0,0.0
573,anaclinal,0.0,0.0
574,cataclinal,0.0,0.0
575,stigmatic,0.0,0.25
576,astigmatic,0.0,0.0
577,anticlinal,0.0,0.0
578,synclinal,0.0,0.0
579,anadromous,0.0,0.0
580,catadromous,0.0,0.0
581,diadromous,0.0,0.0
582,anabatic,0.0,0.0
583,katabatic,0.0,0.0
584,anal_retentive,0.0,0.0
585,oral,0.0,0.0
586,linear,0.0,0.0
587,digital,0.0,0.0
588,analytical,0.125,0.0
589,synthetical,0.0,0.0
590,uninflected,0.125,0.0
591,isolating,0.0,0.0
592,synthetic,0.0,0.0
593,polysynthetic,0.0,0.0
594,analytical,0.0,0.0
595,synthetical,0.0,0.0
596,inflectional,0.125,0.125
597,derivational,0.0,0.25
598,apocarpous,0.0,0.0
599,syncarpous,0.0,0.0
600,angry,0.375,0.375
601,provoked,0.0,0.5
602,maddened,0.25,0.25
603,black,0.125,0.5
604,irascible,0.125,0.625
605,hot_under_the_collar,0.125,0.125
606,sore,0.125,0.0
607,umbrageous,0.0,0.75
608,ireful,0.125,0.5
609,livid,0.125,0.0
610,smouldering,0.5,0.25
611,wrothful,0.0,0.25
612,unangry,0.0,0.125
613,resentful,0.0,0.875
614,bitter,0.5,0.25
615,rancorous,0.375,0.25
616,unresentful,0.0,0.5
617,unbitter,0.0,0.75
618,sentient,0.25,0.5
619,sensate,0.125,0.25
620,insentient,0.125,0.5
621,unfeeling,0.25,0.5
622,animate,0.0,0.0
623,nonliving,0.0,0.75
624,nonconscious,0.0,0.0
625,animated,0.375,0.0
626,spirited,0.375,0.0
627,vital,0.375,0.25
628,revived,0.5,0.125
629,unanimated,0.375,0.5
630,lifeless,0.25,0.0
631,wan,0.25,0.5
632,enlivened,0.5,0.0
633,perked_up,0.875,0.0
634,unenlivened,0.0,0.625
635,animate,0.0,0.0
636,inanimate,0.0,0.0
637,anonymous,0.0,0.5
638,unnamed,0.0,0.0
639,onymous,0.0,0.0
640,binominal,0.0,0.0
641,pseudonymous,0.0,0.0
642,antemortem,0.0,0.0
643,postmortem,0.0,0.125
644,antecedent,0.0,0.0
645,prior,0.0,0.0
646,prevenient,0.375,0.125
647,preexisting,0.0,0.375
648,subsequent,0.0,0.0
649,sequent,0.0,0.0
650,ulterior,0.0,0.0
651,antrorse,0.0,0.0
652,retrorse,0.0,0.0
653,decurved,0.0,0.125
654,aquatic,0.0,0.0
655,marine,0.0,0.0
656,subaquatic,0.0,0.0
657,underwater,0.0,0.0
658,terrestrial,0.0,0.0
659,onshore,0.0,0.0
660,overland,0.0,0.0
661,amphibious,0.0,0.0
662,semiaquatic,0.0,0.0
663,preceding,0.0,0.125
664,above,0.0,0.125
665,above-named,0.0,0.125
666,foregoing,0.0,0.0
667,prefatory,0.0,0.0
668,precedent,0.0,0.0
669,premedical,0.0,0.0
670,propaedeutic,0.0,0.0
671,previous,0.0,0.0
672,succeeding,0.0,0.0
673,consecutive,0.0,0.375
674,ensuing,0.0,0.0
675,undermentioned,0.0,0.0
676,next,0.0,0.0
677,in_line,0.0,0.0
678,postmortem,0.0,0.0
679,precedented,0.375,0.0
680,unprecedented,0.0,0.0
681,unexampled,0.0,0.625
682,prehensile,0.0,0.0
683,nonprehensile,0.0,0.125
684,prenatal,0.0,0.125
685,perinatal,0.0,0.0
686,postpartum,0.0,0.125
687,preprandial,0.0,0.0
688,postprandial,0.0,0.0
689,prewar,0.0,0.0
690,postwar,0.0,0.0
691,retrograde,0.0,0.125
692,anterograde,0.0,0.125
693,antemeridian,0.0,0.0
694,ante_meridiem,0.0,0.0
695,postmeridian,0.0,0.0
696,post_meridiem,0.0,0.0
697,anterior,0.0,0.0
698,frontal,0.0,0.0
699,frontal,0.0,0.0
700,prefrontal,0.0,0.0
701,posterior,0.0,0.0
702,hinder,0.0,0.0
703,caudal,0.0,0.0
704,retral,0.0,0.0
705,dorsal,0.0,0.0
706,ventral,0.0,0.0
707,dorsoventral,0.0,0.0
708,appealable,0.5,0.0
709,unappealable,0.0,0.5
710,appendaged,0.0,0.0
711,unappendaged,0.0,0.625
712,appetizing,0.5,0.25
713,savoury,0.625,0.25
714,unappetizing,0.0,0.75
715,approachable,0.0,0.0
716,accessible,0.125,0.125
717,unapproachable,0.0,0.375
718,standoffish,0.125,0.625
719,appropriate,0.0,0.0
720,befitting,0.0,0.0
721,grade-appropriate,0.0,0.0
722,pat,0.5,0.0
723,right,0.0,0.0
724,inappropriate,0.125,0.75
725,unbefitting,0.0,0.625
726,wrong,0.0,0.875
727,due,0.0,0.0
728,callable,0.0,0.0
729,collect,0.0,0.0
730,payable,0.125,0.125
731,overdue,0.0,0.25
732,receivable,0.0,0.0
733,out-of-pocket,0.0,0.0
734,repayable,0.0,0.0
735,undue,0.125,0.25
736,due,0.75,0.0
737,undue,0.0,0.625
738,apropos,0.5,0.125
739,pertinent,0.375,0.25
740,malapropos,0.25,0.75
741,out_of_place,0.125,0.875
742,a_priori,0.25,0.0
743,a_posteriori,0.125,0.0
744,apteral,0.0,0.5
745,porticoed,0.375,0.0
746,pseudoprostyle,0.375,0.0
747,peripteral,0.0,0.0
748,monopteral,0.0,0.0
749,pseudoperipteral,0.0,0.0
750,arbitrable,0.0,0.0
751,nonarbitrable,0.0,0.625
752,columned,0.125,0.0
753,amphistylar,0.0,0.0
754,columnar,0.375,0.25
755,columnlike,0.0,0.0
756,colonnaded,0.125,0.0
757,pillared,0.125,0.0
758,uncolumned,0.0,0.5
759,astylar,0.0,0.25
760,unpillared,0.125,0.25
761,tree-living,0.0,0.0
762,nonarboreal,0.0,0.625
763,sandy,0.0,0.125
764,clayey,0.0,0.125
765,armed,0.25,0.125
766,weaponed,0.0,0.0
767,light-armed,0.0,0.0
768,militarized,0.0,0.0
769,unarmed,0.0,0.5
770,barehanded,0.125,0.0
771,clean,0.125,0.0
772,defenseless,0.0,0.125
773,weaponless,0.0,0.0
774,armoured,0.0,0.125
775,steel-plated,0.0,0.375
776,bony-plated,0.0,0.5
777,bulletproof,0.375,0.25
778,lightly_armoured,0.0,0.0
779,mail-cheeked,0.0,0.0
780,mailed,0.0,0.125
781,scaled,0.0,0.0
782,unarmoured,0.0,0.0
783,armed,0.0,0.125
784,thorny,0.0,0.375
785,bristlelike,0.25,0.25
786,brushlike,0.0,0.125
787,thistlelike,0.25,0.25
788,taloned,0.0,0.25
789,unarmed,0.0,0.625
790,thornless,0.125,0.375
791,armed,0.0,0.0
792,armlike,0.0,0.125
793,brachiate,0.0,0.0
794,long-armed,0.0,0.0
795,one-armed,0.0,0.0
796,armless,0.0,0.0
797,armoured,0.0,0.125
798,bone-covered,0.0,0.125
799,scaly,0.0,0.0
800,silver-scaled,0.0,0.0
801,unarmoured,0.0,0.125
802,scaleless,0.0,0.625
803,artful,0.625,0.0
804,wily,0.625,0.125
805,precious,0.625,0.0
806,scheming,0.125,0.0
807,deep,0.625,0.0
808,elusive,0.625,0.0
809,manipulative,0.25,0.0
810,pawky,0.125,0.25
811,artless,0.25,0.625
812,careless,0.25,0.375
813,articulate,0.125,0.5
814,smooth-spoken,0.375,0.125
815,speech-endowed,0.5,0.0
816,well-spoken,0.0,0.0
817,unarticulate,0.0,0.625
818,aphasic,0.0,0.75
819,voiceless,0.0,0.75
820,silent,0.0,0.0
821,dumb,0.0,0.0
822,tongue-tied,0.125,0.5
823,wordless,0.25,0.5
824,speechless,0.0,0.625
825,unarticulated,0.0,0.5
826,speaking,0.5,0.0
827,tongued,0.0,0.25
828,walk-on,0.0,0.5
829,articulated,0.0,0.625
830,jointed,0.0,0.0
831,unarticulated,0.0,0.625
832,unjointed,0.0,0.5
833,ashamed,0.0,0.75
834,shamed,0.0,0.5
835,mortified,0.0,0.5
836,shamefaced,0.5,0.25
837,sheepish,0.5,0.25
838,unashamed,0.25,0.25
839,insolent,0.75,0.125
840,unblushing,0.125,0.625
841,unembarrassed,0.0,0.375
842,self-assertive,0.625,0.25
843,cocky,0.5,0.25
844,forceful,0.25,0.0
845,unassertive,0.625,0.0
846,nonassertive,0.25,0.375
847,self-effacing,0.125,0.25
848,associatory,0.0,0.625
849,associable,0.625,0.0
850,nonassociative,0.0,0.125
851,committed,0.125,0.125
852,betrothed,0.25,0.0
853,intended,0.0,0.0
854,involved,0.0,0.0
855,uncommitted,0.0,0.75
856,unpromised,0.0,0.625
857,affixed,0.125,0.0
858,appendant,0.0,0.0
859,basifixed,0.0,0.0
860,pasted,0.0,0.0
861,mounted,0.0,0.0
862,unaffixed,0.0,0.25
863,stalkless,0.0,0.125
864,stalked,0.0,0.125
865,sessile,0.0,0.625
866,vagile,0.0,0.0
867,unattached,0.0,0.125
868,attached,0.0,0.0
869,detached,0.0,0.0
870,separate,0.0,0.5
871,semidetached,0.0,0.0
872,stuck,0.0,0.0
873,cragfast,0.0,0.0
874,unstuck,0.5,0.25
875,attachable,0.5,0.0
876,bondable,0.5,0.0
877,clip-on,0.125,0.0
878,tie-on,0.0,0.0
879,detachable,0.25,0.0
880,clastic,0.625,0.0
881,wary,0.625,0.0
882,upon_one's_guard,0.375,0.0
883,shy,0.375,0.125
884,unwary,0.125,0.625
885,gullible,0.5,0.125
886,unguarded,0.0,0.25
887,attentive,0.25,0.0
888,wrapped,0.25,0.125
889,heedful,0.5,0.0
890,observant,0.5,0.0
891,oversolicitous,0.125,0.625
892,solicitous,0.375,0.125
893,inattentive,0.25,0.375
894,scatty,0.375,0.125
895,distrait,0.0,0.25
896,woolgathering,0.25,0.25
897,yawning,0.25,0.375
898,oblivious,0.375,0.0
899,attractive,0.875,0.0
900,fascinating,0.5,0.0
901,magnetic,0.5,0.0
902,cute,0.5,0.0
903,dinky,0.5,0.0
904,piquant,0.875,0.0
905,winning,0.625,0.0
906,showy,0.0,0.375
907,spellbinding,0.375,0.0
908,irresistible,0.625,0.125
909,personable,0.625,0.0
910,photogenic,0.5,0.0
911,prepossessing,0.5,0.0
912,winsome,0.625,0.0
913,unattractive,0.5,0.25
914,plain,0.375,0.25
915,subfusc,0.125,0.25
916,unpresentable,0.0,0.125
917,attractive,0.0,0.0
918,repulsive,0.5,0.0
919,appealing,0.25,0.0
920,catchy,0.25,0.0
921,attractive,0.375,0.0
922,unappealing,0.125,0.625
923,off-putting,0.25,0.5
924,unattractive,0.375,0.0
925,attributable,0.625,0.0
926,referable,0.0,0.25
927,credited,0.0,0.0
928,traceable,0.0,0.0
929,unattributable,0.125,0.25
930,prenominal,0.0,0.0
931,attributive_genitive,0.0,0.0
932,predicative,0.0,0.0
933,pregnant,0.0,0.0
934,with_child,0.0,0.0
935,nonpregnant,0.0,0.125
936,hearable,0.375,0.0
937,clunky,0.0,0.0
938,sonic,0.0,0.0
939,sounding,0.0,0.0
940,unhearable,0.125,0.5
941,voiceless,0.125,0.0
942,infrasonic,0.375,0.0
943,silent,0.0,0.0
944,unsounded,0.0,0.625
945,ultrasonic,0.375,0.0
946,unheard,0.25,0.0
947,transonic,0.0,0.0
948,subsonic,0.0,0.0
949,supersonic,0.0,0.0
950,auspicious,0.625,0.0
951,promising,0.0,0.375
952,rosy,0.75,0.0
953,unfortunate,0.111,0.889
954,unpromising,0.125,0.5
