	ID	text	sentiment	applicability
1078	1078	I kept catching the cable on the seat and I had to pull the phone out to turn it on an off.	0	1
1079	1079	Both do good jobs and are quite amusing.  	1	1
108	108	I guess it was supposed to be clever twist, then shed some light on the situation, but it was just stupid.  	0	1
1080	1080	But I definitely would not eat here again.	0	1
1081	1081	PS the only scene in the movie that was cool is when the central character finds her room blown up.  	1	1
1082	1082	Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended	1	1
1083	1083	Because both ears are occupied, background is not distracting at all.	1	1
1084	1084	I'd say that would be the hardest decision... Honestly, all of M's dishes taste how they are supposed to taste (amazing).	1	1
1085	1085	Saggy, floppy piece of junk.	0	1
1086	1086	This is a great deal.	1	1
1087	1087	All I can do is whine on the Internet, so here it goes.The more I use the thing the less I like it.	0	1
1088	1088	Our waiter was very attentive, friendly, and informative.	1	1
1089	1089	Waited and waited and waited.	0	1
109	109	WILL NEVER EVER GO BACK AND HAVE TOLD MANY PEOPLE WHAT HAD HAPPENED.	0	1
1090	1090	I got the car charger and not even after a week the charger was broken...I went to plug it in and it started smoking.	0	1
1091	1091	I'm really disappointed all I have now is a charger that doesn't work.	0	1
1092	1092	If there was ever a movie that needed word-of-mouth to promote, this is it.  	1	1
1093	1093	Clear Skype Calls, Long Battery Life, Long Range.	1	1
1094	1094	"It was that year, however, that reminded us that Huston was still at the top of his game as evinced by his faithful adaptation of James Joyce's acclaimed novella ""The Dead.  "	1	1
1095	1095	It was awesome.	1	1
1096	1096	"The movie in movie situations in the beginning and through the game that is played with her by the ""acting coach"" are fascinating.  "	1	1
1097	1097	Absolutely great.	1	1
1098	1098	If this premise sound stupid, that's because it is.  	0	1
1099	1099	Very well made and fits my Surefire GX2 perfectly.	1	1
11	11	Awesome service and food.	1	1
110	110	The lead man is charisma-free.  	0	1
1100	1100	Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying.	0	1
1101	1101	He was very impressed when going from the original battery to the extended battery.	1	1
1102	1102	Don't make the same mistake I did.	0	1
1103	1103	One of the worst shows of all time.  	0	1
1104	1104	The cashew cream sauce was bland and the vegetables were undercooked.	0	1
1105	1105	The selection was probably the worst I've seen in Vegas.....there was none.	0	1
1106	1106	It works great with a car charger, especially if you cannot plug in two adapters at the same time.	1	1
1107	1107	The buttons for on and off are bad.	0	1
1108	1108	Yes, it's that bad.  	0	1
1109	1109	Great price also!	1	1
111	111	Perhaps my phone is defective, but people cannot hear me when I use this.	0	1
1110	1110	I would not recommend this place.	0	1
1111	1111	Its a total package.	1	1
1112	1112	A mature, subtle script that suggests and occasionally brings into dramatic focus the underlying tensions is well served by perfect performances (apart from the odd inappropriate smiling that Keira Knightley is prone to, though perhaps under direction this time as the other characters themselves often mention it).  	1	1
1113	1113	Yeah, the movie pretty much sucked.  	0	1
1114	1114	good protection and does not make phone too bulky.	1	1
1115	1115	End of Days is one of the worst big-budget action movies I've ever seen.  	0	1
1116	1116	How this piece of trash was ever released is beyond me: the acting, the story, the characters, the supposedly special effects, etc...it's ALL wrong.  	0	1
1117	1117	Just had lunch here and had a great experience.	1	1
1118	1118	I had absolutely no problem with this headset linking to my 8530 Blackberry Curve!	1	1
1119	1119	To those who find this movie intelligent or even masterful, I can only say - it's your intelligence and your imagination you obviously used to try and make some sense of this pitiful attempt (it's in our human nature to try and make sense of things) .  	0	1
112	112	They really want to make your experience a good one.	1	1
1120	1120	"The ""explosion"" of the Gas tanks at the end was just as awful.  "	0	1
1121	1121	The first time I ever came here I had an amazing experience, I still tell people how awesome the duck was.	1	1
1122	1122	They also have the best cheese crisp in town.	1	1
1123	1123	But then they came back cold.	0	1
1124	1124	And I just love the colors!	1	1
1125	1125	Only had this a month but it's worked flawlessly so far.	1	1
1126	1126	The biggest complaint I have is, the battery drains superfast.	0	1
1127	1127	None of it works, just don't buy it.	0	1
1128	1128	Works great!.	1	1
1129	1129	I had to wait over 30 minutes to get my drink and longer to get 2 arepas.	0	1
113	113	The dialogue is composed of things that make little sense.  	0	1
1130	1130	Their regular toasted bread was equally satisfying with the occasional pats of butter... Mmmm...!	1	1
1131	1131	I purcashed this for the car charger and it does not work.	0	1
1132	1132	Everything from acting to cinematography was solid.  	1	1
1133	1133	This is one of the better buffets that I have been to.	1	1
1134	1134	"A Lassie movie which should have been ""put to sleep"".... FOREVER.  "	0	1
1135	1135	Best service and food ever, Maria our server was so good and friendly she made our day.	1	1
1136	1136	I hate to disagree with my fellow Yelpers, but my husband and I were so disappointed with this place.	0	1
1137	1137	Pros:-Good camera - very nice pictures , also has cool styles like black and white, and more.	1	1
1138	1138	He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas.	0	1
1139	1139	Please stay away from the shrimp stir fried noodles.	0	1
114	114	This item is great, installed it, let it charged up overnite and it has been working good every since with no problems	1	1
1140	1140	"I cannot believe that the actors agreed to do this ""film"".  "	0	1
1141	1141	Nice, spicy and tender.	1	1
1142	1142	Doesn't do the job.	0	1
1143	1143	The music in the film is really nice too.  	1	1
1144	1144	I guess I liked the details of his dysfunction--he was believable.  	1	1
1145	1145	My only problem is I thought the actor playing the villain was a low rent Michael Ironside.  	0	1
1146	1146	Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.	0	1
1147	1147	I like Armand Assante & my cable company's summary sounded interesting, so I watched it, twice already, and probably will again.  	1	1
1148	1148	However, after finally watching this film, I realized that not only had I had a closed mind to the brilliance it depicts, I also found myself watching it over and over again.  	1	1
1149	1149	It lacked flavor, seemed undercooked, and dry.	0	1
115	115	When I received my Pita it was huge it did have a lot of meat in it so thumbs up there.	1	1
1150	1150	Highly entertaining at all angles.  	1	1
1151	1151	Authentic leather with nice shine and comfort .I recommend you this case !!	1	1
1152	1152	Works for me.	1	1
1153	1153	I've seen soap operas more intelligent than this movie.  	0	1
1154	1154	The Ngage is still lacking in earbuds.	0	1
1155	1155	It was a bit too sweet, not really spicy enough, and lacked flavor.	0	1
1156	1156	It's very slow.  	0	1
1157	1157	It's a mediocre, miserable, hollow, laughable and predictable piece of garbage.  	0	1
1158	1158	Worst hour and a half of my life!Oh my gosh!  	0	1
1159	1159	The chipolte ranch dipping sause was tasteless, seemed thin and watered down with no heat.	0	1
116	116	It's NOT hard to make a decent hamburger.	0	1
1160	1160	This movie is a good and humorous comment on life in 2006.  	1	1
1161	1161	The use of slow-motion needlessly repeats itself throughout the movie but is well backed up by bad acting (and bad is a kind word here), no continuity, scenes that are thrown in for no reason whatsoever, vehicles that looked like they were made from a Corn Flakes box and a directorial style that bordered on stupidity.  	0	1
1162	1162	Exceptionally bad!  	0	1
1163	1163	But this movie really got to me.  	1	1
1164	1164	I thought it was bad.  	0	1
1165	1165	But I thought his acting was skilled.  	1	1
1166	1166	Cute, quaint, simple, honest.	1	1
1167	1167	Horrible - don't waste your time and money.	0	1
1168	1168	The ambiance isn't much better.	0	1
1169	1169	The waitresses are very friendly.	1	1
117	117	See both films if you can.  	1	1
1170	1170	NOBODY identifies with these characters because they're all cardboard cutouts and stereotypes (or predictably reverse-stereotypes).  	0	1
1171	1171	It finds my cell phone right away when I enter the car.	1	1
1172	1172	Also, the fries are without a doubt the worst fries I've ever had.	0	1
1173	1173	I knew when I saw the film that more great things were to come from this gifted actor.  	1	1
1174	1174	It is a very well acted and done TV Movie.  	1	1
1175	1175	Kind of flops around.	0	1
1176	1176	She carries the movie well.  	1	1
1177	1177	It quit working after I'd used it for about 18 months, so I just purchased another one because this is the best headset I've ever owned.	1	1
1178	1178	The price was very good and with the free shipping and all it was a good purchase.	1	1
1179	1179	Very disappointed in AccessoryOne.	0	1
118	118	The movie was so boring, that I sometimes found myself occupied peaking in the paper instead of watching (never happened during a Columbo movie before!  	0	1
1180	1180	My Sanyo has survived dozens of drops on blacktop without ill effect.	1	1
1181	1181	EXCELLENT SERVICE!!!!!!!!.	1	1
1182	1182	The crêpe was delicate and thin and moist.	1	1
1183	1183	The case is a flimsy piece of plastic and has no front or side protection whatsoever.	0	1
1184	1184	It feels poorly constructed, the menus are difficult to navigate, and the buttons are so recessed that it is difficult to push them.	0	1
1185	1185	I does not maintain a connection with the computer while it is on my lap.	0	1
1186	1186	Works like a charm; it work the same as the one I got with the phone.	1	1
1187	1187	Now I know that I made a wise decision.	1	1
1188	1188	This was my first crawfish experience, and it was delicious!	1	1
1189	1189	My boyfriend tried the Mediterranean Chicken Salad and fell in love.	1	1
119	119	It actually turned out to be pretty decent as far as B-list horror/suspense films go.  	1	1
1190	1190	Once your food arrives it's meh.	0	1
1191	1191	much better than the hard plastic cases.	1	1
1192	1192	This movie has a cutting edge to it.  	1	1
1193	1193	It rocked my world and is certainly a must see for anyone with no social or physical outlets.  	1	1
1194	1194	!I definitly recommend!!	1	1
1195	1195	Best tater tots in the southwest.	1	1
1196	1196	The only good thing was our waiter, he was very helpful and kept the bloddy mary's coming.	1	1
1197	1197	Raw and sublimely moving.  	1	1
1198	1198	you can watch them preparing the delicious food!)	1	1
1199	1199	This film offers many delights and surprises.  	1	1
12	12	Internet is excrutiatingly slow.	0	1
120	120	This totally UNfunny movie is so over the top and pathetic and unrealistic that throughout the whole 90 minutes of utter torture I probably looked at my watch about 70000 times!  	0	1
1200	1200	I bought these hoping I could make my Bluetooth headset fit better but these things made it impossible to wear.	0	1
1201	1201	I swung in to give them a try but was deeply disappointed.	0	1
1202	1202	You won't be disappointed.	1	1
1203	1203	I have a Verizon LG phone and they work well together, good reception and range that exceeds 20 feet line of sight.	1	1
1204	1204	I would have given no star if I was able.	0	1
1205	1205	The acting from all involved and that includes those like Shatner and Nimoy is bad and washed out and making them seem as old as they look in real life, the special effects are tacky like when Spock has to rescue Kirk on a jet pack when he falls down from a mountain.  	0	1
1206	1206	From here on the Widmark character turns unintentionally comical!  	0	1
1207	1207	I got to enjoy the seafood salad, with a fabulous vinegrette.	1	1
1208	1208	This fixes all the problems.	1	1
1209	1209	I found a six inch long piece of wire in my salsa.	0	1
121	121	I am glad I purchased it.	1	1
1210	1210	"If you are looking for a movie with a terrific cast, some good music(including a Shirley Jones rendition of ""The Way You Look Tonight""), and an uplifting ending, give this one a try.  "	1	1
1211	1211	This place is not worth your time, let alone Vegas.	0	1
1212	1212	Integrated seamlessly with the Motorola RAZR phone.	1	1
1213	1213	They do not last forever, but is not overly expensive to replace.Easy to operate and the sound is much better than others I have tried.	1	1
1214	1214	Arrived quickly and much less expensive than others being sold.	1	1
1215	1215	What a waste of time!	0	1
1216	1216	I asked multiple times for the wine list and after some time of being ignored I went to the hostess and got one myself.	0	1
1217	1217	I promise they won't disappoint.	1	1
1218	1218	My first visit to Hiro was a delight!	1	1
1219	1219	The flair bartenders are absolutely amazing!	1	1
122	122	Eclectic selection.	1	1
1220	1220	Don't make the same mistake that I did and please don't buy this phone.	0	1
1221	1221	Why are these sad little vegetables so overcooked?	0	1
1222	1222	GO AND SEE IT!  	1	1
1223	1223	It was a pale color instead of nice and char and has NO flavor.	0	1
1224	1224	The only downside is the service.	0	1
1225	1225	"I think the most wonderful parts (literally, full of ""wonder"") are the excerpts from his works.  "	1	1
1226	1226	He surely doesn't know how to make a coherent action movie from the screenwriter of Air Force One who was only obliged to write the script just for a big sum of money.  	0	1
1227	1227	Magical Help.	1	1
1228	1228	It doesn't work in Europe or Asia.	0	1
1229	1229	will definitely be back!	1	1
123	123	The restaurant atmosphere was exquisite.	1	1
1230	1230	They keep getting better and better (this is my third one and I've had numerous Palms too).	1	1
1231	1231	I only used it two days, and it wasn't always easy to hear with.	0	1
1232	1232	And it was way to expensive.	0	1
1233	1233	I love the look and feel of Samsung flipphones.	1	1
1234	1234	Pricing is a bit of a concern at Mellow Mushroom.	0	1
1235	1235	I loved this movie it was a great portrayal of a family who had it's share of ups and down, but in the end they knew that special love they had for each other.  	1	1
1236	1236	great...no problems at all!.	1	1
1237	1237	The food is very good for your typical bar food.	1	1
1238	1238	For service, I give them no stars.	0	1
1239	1239	"It's just adorable seeing Mickey playing ""Turkey in the Straw"" in a highly imaginative (if occasionally cruel) way.  "	1	1
124	124	Leopard Print is wonderfully wild!.	1	1
1240	1240	I liked the way Dustin Hoffman's character was ready to do just about everything to stay with his son.  	1	1
1241	1241	I guess that nobody at the network that aired this dribble watched it before putting it on.  	0	1
1242	1242	Of course, the acting is blah.  	0	1
1243	1243	Very happy with this product.	1	1
1244	1244	I have eaten here multiple times, and each time the food was delicious.	1	1
1245	1245	As for the killer, don't expect anything original or even remotely frightening.  	0	1
1246	1246	This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.	1	1
1247	1247	Food was below average.	0	1
1248	1248	I went to Bachi Burger on a friend's recommendation and was not disappointed.	1	1
1249	1249	I bought this battery with a coupon from Amazon and I'm very happy with my purchase.	1	1
125	125	"The servers went back and forth several times, not even so much as an ""Are you being helped?"""	0	1
1250	1250	I believe that Pitch Black was done well.  	1	1
1251	1251	Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.	1	1
1252	1252	The worst phone I've ever had.... Only had it for a few months.	0	1
1253	1253	The worst piece of crap ever along with the Verizon customer service.	0	1
1254	1254	Don't buy it.	0	1
1255	1255	The problem I have is that they charge $11.99 for a sandwich that is no bigger than a Subway sub (which offers better and more amount of vegetables).	0	1
1256	1256	The feel of the dining room was more college cooking course than high class dining and the service was slow at best.	0	1
1257	1257	Ample portions and good prices.	1	1
1258	1258	Only Pros : Large seating area/ Nice bar area/ Great simple drink menu/ The BEST brick oven pizza with homemade dough!	1	1
1259	1259	That was done in the second movie.  	0	1
126	126	The earpiece on this is too large or too heavy...it keeps falling out of my ear.	0	1
1260	1260	Waited 2 hours & never got either of our pizzas as many other around us who came in later did!	0	1
1261	1261	This battery is an excellent bargain!	1	1
1262	1262	If it were possible to give them zero stars, they'd have it.	0	1
1263	1263	The croutons also taste homemade which is an extra plus.	1	1
1264	1264	This place is pretty good, nice little vibe in the restaurant.	1	1
1265	1265	Lately they have been extremely nice and helpful on the phone.	1	1
1266	1266	Highly recommended.	1	1
1267	1267	Plan on ordering from them again and again.	1	1
1268	1268	Last night was my second time dining here and I was so happy I decided to go back!	1	1
1269	1269	I highly doubt that anyone could ever like this trash.  	0	1
127	127	Worked perfectly!	1	1
1270	1270	I have had this phone for over a year now, and I will tell you, its not that great.	0	1
1271	1271	Utterly without merit on any level, this is akin to torture.  	0	1
1272	1272	All this movie does is make you sick watching all these slackers make excuses for their stupid actions for 90 minutes.  	0	1
1273	1273	Do not waste your money here!	0	1
1274	1274	Wasted two hours.  	0	1
1275	1275	Definitely worth checking out.  	1	1
1276	1276	The real killer is the volume, and of course it breaking.	0	1
1277	1277	The Songs Were The Best And The Muppets Were So Hilarious.  	1	1
1278	1278	These were so good we ordered them twice.	1	1
1279	1279	It has a great camera thats 2MP, and the pics are nice and clear with great picture quality.	1	1
128	128	This place lacked style!!	0	1
1280	1280	I won't be back.	0	1
1281	1281	Terrible product, and waste of money!	0	1
1282	1282	Good audio quality.	1	1
1283	1283	It was clear that she had the range and ability to pull off this part.  	1	1
1284	1284	Good price.	1	1
1285	1285	It features an outlandish array of memorable, psychotic but lovable nuts.  	1	1
1286	1286	But I don't like it.	0	1
1287	1287	This is hands down the best phone I've ever had.	1	1
1288	1288	Avoid this one if you can.	0	1
1289	1289	Sooooo good!!	1	1
129	129	Best of luck to the rude and non-customer service focused new management.	0	1
1290	1290	I'll definitely be in soon again.	1	1
1291	1291	And the drinks are WEAK, people!	0	1
1292	1292	The holster that arrived did not match the photo in the ad.	0	1
1293	1293	Has been working great.	1	1
1294	1294	Okay, I like to consider myself a fair critic, so I'll give credit where credit's due--the creature effects were actually pretty cool.  	1	1
1295	1295	Just spicy enough.. Perfect actually.	1	1
1296	1296	To my disbelief, each dish qualified as the worst version of these foods I have ever tasted.	0	1
1297	1297	DO NOT BUY DO NOT BUYIT SUCKS	0	1
1298	1298	However, this didn't make up for the fact that overall, this was a tremendously boring movie.  	0	1
1299	1299	The mic there is a joke, and the volume is quite low.	0	1
13	13	However, here there was no decent acting, action or location work to balance things up.  	0	1
130	130	It is not good.  	0	1
1300	1300	I took back my money and got outta there.	0	1
1301	1301	Big Disappointment with calendar sync.	0	1
1302	1302	If you want healthy authentic or ethic food, try this place.	1	1
1303	1303	Lame would be the best way to describe it.  	0	1
1304	1304	When a song could explain the emotions of the subjects better, such as when Jay Adams' unfortunate life was a subject of talk, the song Old Man by Neil Young was played, which evokes many emotions.  	1	1
1305	1305	Stanwyck and Morgan are perfectly cast in what is, in many ways, a modern equivalent of Dickens' Christmas Carol in its sensibility.  	1	1
1306	1306	The story unfolds in 18th century Jutland and the use of period music played on period instruments is just one more fine touch.  	1	1
1307	1307	Great steak, great sides, great wine, amazing desserts.	1	1
1308	1308	The seafood was fresh and generous in portion.	1	1
1309	1309	I highly recommend this modest priced cellular phone.	1	1
131	131	It was an inexpensive piece, but I would still have expected better quality.	0	1
1310	1310	Will not be back!	0	1
1311	1311	I won't be back.	0	1
1312	1312	Made very sturdy.	1	1
1313	1313	Doesn't hold charge.	0	1
1314	1314	Poor Talk Time Performance.	0	1
1315	1315	good item, low price.	1	1
1316	1316	Any ring tone..Overall good phone to buy..	1	1
1317	1317	I would highly recommend this.	1	1
1318	1318	I'm not really sure how Joey's was voted best hot dog in the Valley by readers of Phoenix Magazine.	0	1
1319	1319	I great reception all the time.	1	1
132	132	It was a huge awkward 1.5lb piece of cow that was 3/4ths gristle and fat.	0	1
1320	1320	"It isn't even an achievement as a ""so-bad-it's-good"" or ""so-bad-it's-memorable"" movie.  "	0	1
1321	1321	The sound quality for the device is unacceptable.Unless you are in a really quiet area, you almost hear nothing.	0	1
1322	1322	Avoid at all costs.  	0	1
1323	1323	I just got bored watching Jessice Lange take her clothes off!  	0	1
1324	1324	I think food should have flavor and texture and both were lacking.	0	1
1325	1325	The pizza selections are good.	1	1
1326	1326	Food was so gooodd.	1	1
1327	1327	This is a GREAT place to eat!	1	1
1328	1328	It's a case of 'so bad it is laughable'.  	0	1
1329	1329	About ten minutes into this film I started having second thoughts.  	0	1
133	133	I have to jiggle the plug to get it to line up right to get decent volume.	0	1
1330	1330	Crisp and Clear.	1	1
1331	1331	It's A PIECE OF CRAP!	0	1
